state,age,injury,restraint,inimpact,modelyr,D_injury,year
1,20,3,1,12,0.770114943,3,1998
1,41,2,0,2,0.724137931,2,1998
1,17,4,0,11,0.83908046,4,1998
1,19,3,0,12,0.850574713,4,1998
1,1,4,4,3,0.770114943,3,1998
1,24,3,0,2,0.816091954,3,1998
1,50,4,3,3,0.689655172,3,1998
1,16,4,3,12,0.770114943,3,1998
1,53,4,0,3,0.735632184,4,1998
1,73,1,3,9,0.83908046,4,1998
1,18,4,0,9,0.770114943,3,1998
1,50,4,3,12,0.770114943,4,1998
1,19,3,3,12,0.701149425,4,1998
1,58,4,0,2,0.804597701,3,1998
1,24,4,3,12,0.83908046,4,1998
1,16,3,3,12,0.827586207,3,1998
1,42,4,3,3,0.816091954,3,1998
1,19,3,0,9,0.620689655,4,1998
1,30,3,0,9,0.632183908,4,1998
1,26,4,0,12,0.75862069,3,1998
1,35,3,0,12,0.724137931,4,1998
1,31,3,3,9,0.701149425,3,1998
1,9,3,0,12,0.804597701,4,1998
1,15,3,0,3,0.816091954,4,1998
1,10,3,0,12,0.67816092,4,1998
1,15,4,3,12,0.781609195,0,1998
1,15,3,0,11,0.735632184,4,1998
1,74,4,3,12,0.75862069,3,1998
1,39,3,0,12,0.712643678,4,1998
1,32,4,0,12,0.551724138,3,1998
1,36,4,0,12,0.67816092,4,1998
1,29,4,0,12,0.701149425,3,1998
1,77,2,0,12,0.747126437,4,1998
1,44,3,3,11,0.781609195,4,1998
1,21,4,0,12,0.816091954,4,1998
1,41,3,3,12,0.724137931,3,1998
1,31,4,0,9,0.643678161,4,1998
1,10,3,3,12,0.827586207,3,1998
1,72,4,3,7,0.804597701,4,1998
1,83,4,0,3,0.701149425,3,1998
1,13,3,0,12,0.850574713,3,1998
1,8,2,3,12,0.804597701,4,1998
1,19,3,3,12,0.75862069,3,1998
1,25,3,0,3,0.735632184,3,1998
1,14,3,0,6,0.747126437,3,1998
1,45,3,3,12,0.689655172,3,1998
1,42,3,3,12,0.781609195,3,1998
1,34,4,3,12,0.850574713,3,1998
1,54,3,3,9,0.781609195,4,1998
1,52,4,3,3,0.804597701,3,1998
1,69,4,3,8,0.701149425,4,1998
1,24,4,0,12,0.770114943,3,1998
1,6,3,3,12,0.747126437,4,1998
1,40,4,0,12,0.735632184,4,1998
1,36,4,3,3,0.770114943,4,1998
1,19,3,0,7,0.770114943,4,1998
1,21,3,3,11,0.827586207,4,1998
1,76,3,0,12,0.712643678,4,1998
1,46,3,3,12,0.816091954,1,1998
1,50,3,0,4,0.689655172,4,1998
1,59,1,3,4,0.747126437,0,1998
1,43,1,3,11,0.83908046,0,1998
1,21,2,0,2,0.701149425,2,1998
1,24,3,3,3,0.747126437,3,1998
1,18,4,0,2,0.563218391,3,1998
1,11,4,1,12,0.770114943,3,1998
1,34,3,0,2,0.747126437,3,1998
1,23,4,3,3,0.747126437,1,1998
1,35,4,0,12,0.75862069,3,1998
1,77,4,0,12,0.793103448,4,1998
1,28,3,3,12,0.83908046,3,1998
1,40,3,0,11,0.804597701,3,1998
1,19,4,0,12,0.816091954,4,1998
1,17,4,0,12,0.712643678,4,1998
1,15,3,3,2,0.83908046,3,1998
1,60,3,3,12,0.666666667,4,1998
1,12,4,0,2,0.75862069,4,1998
1,28,4,0,3,0.724137931,3,1998
1,26,3,0,12,0.827586207,3,1998
1,19,2,0,3,0.862068966,2,1998
1,7,4,0,12,0.75862069,3,1998
1,34,3,3,6,0.83908046,0,1998
1,8,3,0,12,0.689655172,4,1998
1,18,4,0,2,0.770114943,3,1998
1,42,3,3,12,0.83908046,2,1998
1,65,4,3,12,0.804597701,3,1998
1,35,4,0,3,0.83908046,3,1998
1,68,4,0,9,0.804597701,4,1998
1,37,4,0,6,0.67816092,2,1998
1,19,3,3,11,0.850574713,3,1998
1,28,3,3,12,0.770114943,3,1998
1,18,3,0,11,0.781609195,3,1998
1,22,4,0,11,0.770114943,4,1998
1,37,4,0,2,0.632183908,3,1998
1,15,3,3,12,0.827586207,3,1998
1,46,4,0,12,0.735632184,3,1998
1,47,3,0,12,0.701149425,4,1998
1,58,2,3,9,0.816091954,4,1998
1,51,4,0,12,0.701149425,4,1998
1,20,3,3,9,0.712643678,4,1998
1,14,4,0,3,0.804597701,3,1998
1,9,3,0,12,0.735632184,4,1998
1,20,2,3,12,0.712643678,2,1998
1,19,3,0,3,0.67816092,3,1998
1,24,3,3,12,0.850574713,3,1998
1,16,3,0,11,0.850574713,4,1998
1,53,4,3,2,0.770114943,3,1998
1,10,4,0,3,0.781609195,3,1998
1,20,3,0,12,0.804597701,3,1998
1,81,4,3,9,0.724137931,4,1998
1,75,3,3,11,0.816091954,3,1998
1,17,4,0,3,0.689655172,3,1998
1,65,3,3,12,0.816091954,4,1998
1,77,4,0,12,0.724137931,3,1998
1,78,4,0,12,0.793103448,2,1998
1,56,4,0,3,0.770114943,3,1998
1,18,4,0,2,0.712643678,4,1998
1,39,4,0,3,0.781609195,4,1998
1,21,4,0,4,0.83908046,0,1998
1,28,4,0,12,0.83908046,3,1998
1,16,4,0,2,0.793103448,3,1998
1,9,1,3,12,0.75862069,3,1998
1,22,3,3,12,0.735632184,4,1998
1,32,3,3,12,0.781609195,3,1998
1,14,4,0,12,0.804597701,4,1998
1,25,3,0,9,0.793103448,4,1998
1,22,3,0,12,0.505747126,4,1998
1,1,4,4,12,0.735632184,3,1998
1,18,4,0,12,0.735632184,3,1998
1,16,3,0,12,0.804597701,3,1998
1,21,3,3,12,0.793103448,4,1998
1,23,4,0,4,0.804597701,4,1998
1,23,4,0,12,0.724137931,3,1998
1,25,3,3,2,0.620689655,4,1998
1,56,3,3,9,0.793103448,4,1998
1,41,3,3,12,0.804597701,3,1998
1,37,3,0,12,0.827586207,4,1998
1,62,4,3,9,0.804597701,4,1998
1,85,4,3,12,0.781609195,2,1998
1,16,3,0,12,0.75862069,4,1998
1,36,1,3,6,0.793103448,0,1998
1,31,3,3,11,0.770114943,4,1998
1,27,3,0,12,0.632183908,4,1998
1,22,3,0,9,0.701149425,4,1998
1,38,3,3,12,0.747126437,3,1998
1,31,4,0,3,0.643678161,3,1998
1,16,1,3,12,0.850574713,1,1998
1,77,3,3,12,0.850574713,3,1998
1,47,3,3,12,0.850574713,3,1998
1,11,3,0,12,0.735632184,4,1998
1,18,4,3,3,0.827586207,3,1998
1,36,3,3,12,0.83908046,3,1998
1,23,3,0,9,0.747126437,4,1998
1,51,4,3,12,0.735632184,4,1998
1,22,3,3,12,0.827586207,3,1998
